	Unnamed: 0	mask_dim	acs_type	acc	bloc	kernel	std_noise	lr_mask	lr_other	test_ssim	test_psnr	test_loss	test_loss_denorm
25	0	[121, 145]	square	0.125	1	[11, 11]	0.05	0.001	0.01	0.66329831785775	25.420174805971385	0.0461838506162166	1.224945561917953e-09
26	0	[121, 145]	no	0.125	1	[11, 11]	0.05	0.001	0.001	0.5687692013494953	22.325296234965577	0.0757386237382888	2.389714729382958e-09
27	0	[121, 145]	square	0.125	1	[11, 11]	0.05	0.001	0.0001	0.7351742505420082	26.640637831889265	0.0267533231526613	7.738763646313755e-10
28	0	[121, 145]	square	0.125	1	[11, 11]	0.05	0.001	0.001	0.7199812389880003	27.63490237276481	0.0259854029864072	7.03233372001971e-10
29	0	[121, 145]	no	0.125	1	[11, 11]	0.05	0.001	0.0001	0.5695181080557392	21.37116483310072	0.090492308139801	2.7625991836131762e-09
30	0	[121, 145]	no	0.125	1	[11, 11]	0.05	0.0001	0.001	0.3574008774009565	8.951739379065799	1.2624096870422363	4.3240793519191664e-08
31	0	[121, 145]	square	0.125	1	[11, 11]	0.05	0.0001	0.001	0.6097758682568822	22.63592244068484	0.0610292479395866	1.4429318825070635e-09
32	0	[121, 145]	no	0.125	1	[11, 11]	0.05	0.0001	0.0001	0.5199318163951484	13.270558600036075	0.5712493658065796	1.8230218692567303e-08
33	0	[121, 145]	square	0.125	1	[11, 11]	0.05	0.0001	0.01	0.6228232331646675	22.921234422140188	0.0677428767085075	1.6387371546488824e-09
34	0	[121, 145]	square	0.125	1	[11, 11]	0.05	0.0001	0.0001	0.7268698751404028	25.96328437802152	0.0270469821989536	7.57655205563219e-10
35	0	[121, 145]	no	0.125	1	[13, 13]	0.0175	0.01	0.0001	0.3743530541784763	16.782803509238295	0.4035693407058716	1.3855886582137791e-08
36	0	[121, 145]	square	0.125	1	[13, 13]	0.0175	0.01	0.0001	0.5903933154694795	21.673744037093137	0.082289770245552	2.7908870249678243e-09
37	0	[121, 145]	no	0.125	1	[13, 13]	0.0175	0.001	0.01	0.4382162420779343	16.680544584216335	0.1965021938085556	7.455247256221047e-09
38	0	[121, 145]	no	0.125	1	[13, 13]	0.0175	0.01	0.01	0.4946750720241313	18.754813988922127	0.1425611823797226	5.104594698512302e-09
39	0	[121, 145]	square	0.125	1	[13, 13]	0.0175	0.01	0.01	0.6479586922925028	25.015250711162075	0.0630465745925903	1.7900492330234164e-09
40	0	[121, 145]	square	0.125	1	[13, 13]	0.0175	0.01	0.001	0.6462808980164028	24.68934778623855	0.048890583217144	1.4777256016102542e-09
41	0	[121, 145]	square	0.125	1	[13, 13]	0.0175	0.001	0.01	0.6572968313623949	25.70636663031376	0.0545551478862762	1.5308303147883814e-09
42	0	[121, 145]	no	0.125	1	[13, 13]	0.0175	0.01	0.001	0.454223211252804	18.558107574880385	0.1525225937366485	5.610480009442925e-09
43	0	[121, 145]	square	0.125	1	[13, 13]	0.0175	0.001	0.001	0.7243204247068062	26.92839609280753	0.0301201399415731	8.436963432250646e-10
44	0	[121, 145]	no	0.125	1	[13, 13]	0.0175	0.001	0.0001	0.455974190489026	19.20593651001107	0.1475592106580734	5.036679307370387e-09
45	0	[121, 145]	square	0.125	1	[13, 13]	0.0175	0.001	0.0001	0.6778142399936294	24.47989226242664	0.047726321965456	1.561659719947522e-09
46	0	[121, 145]	no	0.125	1	[13, 13]	0.0175	0.001	0.001	0.5960149486925849	23.576237913780883	0.0598725974559783	1.813140256772154e-09
47	0	[121, 145]	square	0.125	1	[13, 13]	0.0175	0.0001	0.01	0.6590478713938016	24.86741481901361	0.0543334856629371	1.3737396052558584e-09
48	0	[121, 145]	no	0.125	1	[13, 13]	0.0175	0.0001	0.01	0.4407356336272304	15.92761143543613	0.2414893805980682	9.096185104231934e-09
49	0	[121, 145]	no	0.125	1	[13, 13]	0.0175	0.0001	0.001	0.4956641219148812	19.91979320519493	0.134378582239151	3.4680507645098804e-09
50	0	[121, 145]	square	0.125	1	[13, 13]	0.0175	0.0001	0.0001	0.7323029197446247	26.119365587639106	0.028347672894597	7.844738150962706e-10
51	0	[121, 145]	no	0.125	1	[13, 13]	0.05	0.01	0.01	0.4560640668135278	17.77635808163272	0.1692307293415069	6.148720597249667e-09
52	0	[121, 145]	square	0.125	1	[13, 13]	0.05	0.01	0.01	0.6539544653189312	25.293787307140175	0.0578626506030559	1.6187570699188102e-09
53	0	[121, 145]	square	0.125	1	[13, 13]	0.0175	0.0001	0.001	0.7040202593374405	26.253574591390198	0.0292807146906852	8.19284982891167e-10
54	0	[121, 145]	square	0.125	1	[13, 13]	0.05	0.01	0.0001	0.6393172457475074	23.02425615619135	0.0642826184630394	2.186159103957048e-09
55	0	[121, 145]	square	0.125	1	[13, 13]	0.05	0.01	0.001	0.6804713194400553	25.656833227615824	0.0391368232667446	1.1434404430027831e-09
56	0	[121, 145]	no	0.125	1	[13, 13]	0.0175	0.0001	0.0001	0.627721845368205	21.896125284747576	0.0762389972805976	2.0791907155501067e-09
57	0	[121, 145]	no	0.125	1	[13, 13]	0.05	0.01	0.001	0.541156204481504	21.5962289427239	0.0908474028110504	3.031800443844677e-09
58	0	[121, 145]	square	0.125	1	[13, 13]	0.05	0.001	0.01	0.6651842970533803	25.72595810042244	0.0530887506902217	1.448735273375404e-09
59	0	[121, 145]	no	0.125	1	[13, 13]	0.05	0.001	0.001	0.5930132279986834	22.866422560215543	0.0727744400501251	2.339452666203798e-09
