	Unnamed: 0	mask_dim	acs_type	acc	bloc	kernel	std_noise	lr_mask	lr_other	test_ssim	test_psnr	test_loss	test_loss_denorm
336	0	[4, 4]	square	0.125	5	[11, 11]	0.05	0.0001	0.0001	1.0	inf	0.0	0.0
337	0	[4, 4]	square	0.125	5	[13, 13]	0.0175	0.01	0.001	1.0	inf	0.0	0.0
339	0	[4, 4]	square	0.125	5	[13, 13]	0.0175	0.01	0.01	1.0	inf	0.0	0.0
340	0	[4, 4]	square	0.125	5	[13, 13]	0.0175	0.001	0.001	1.0	inf	0.0	0.0
341	0	[4, 4]	square	0.125	5	[13, 13]	0.0175	0.001	0.0001	1.0	inf	0.0	0.0
344	0	[4, 4]	square	0.125	5	[13, 13]	0.0175	0.01	0.0001	1.0	inf	0.0	0.0
345	0	[4, 4]	square	0.125	5	[13, 13]	0.0175	0.001	0.01	1.0	inf	0.0	0.0
348	0	[4, 4]	square	0.125	5	[13, 13]	0.0175	0.0001	0.001	1.0	inf	0.0	0.0
350	0	[4, 4]	square	0.125	5	[13, 13]	0.0175	0.0001	0.0001	1.0	inf	0.0	0.0
351	0	[4, 4]	square	0.125	5	[13, 13]	0.0175	0.0001	0.01	1.0	inf	0.0	0.0
357	0	[4, 4]	square	0.125	5	[13, 13]	0.05	0.01	0.01	1.0	inf	0.0	0.0
359	0	[4, 4]	square	0.125	5	[13, 13]	0.05	0.01	0.001	1.0	inf	0.0	0.0
360	0	[4, 4]	square	0.125	5	[13, 13]	0.05	0.001	0.001	1.0	inf	0.0	0.0
362	0	[4, 4]	square	0.125	5	[13, 13]	0.05	0.01	0.0001	1.0	inf	0.0	0.0
364	0	[4, 4]	square	0.125	5	[13, 13]	0.05	0.001	0.01	1.0	inf	0.0	0.0
366	0	[4, 4]	square	0.125	5	[13, 13]	0.05	0.0001	0.0001	1.0	inf	0.0	0.0
367	0	[4, 4]	square	0.125	5	[13, 13]	0.05	0.001	0.0001	1.0	inf	0.0	0.0
369	0	[4, 4]	square	0.125	5	[13, 13]	0.05	0.0001	0.01	1.0	inf	0.0	0.0
370	0	[4, 4]	square	0.125	10	[11, 11]	0.0175	0.01	0.01	1.0	inf	0.0	0.0
371	0	[4, 4]	square	0.125	5	[13, 13]	0.05	0.0001	0.001	1.0	inf	0.0	0.0
372	0	[4, 4]	square	0.125	10	[11, 11]	0.0175	0.01	0.001	1.0	inf	0.0	0.0
