	Unnamed: 0	acs_type	mask_typ	mask_seed	mask_dim	bloc	kernel	lr_other	test_ssim	test_psnr	test_loss	test_loss_denorm
4	0	no	caipiranha	42083	[4, 4]	1	[11, 11]	0.001	0.9914987839300872	47.71926525042575	0.0006057752761989	8.804585189608448e-12
14	0	square	caipiranha	42083	[4, 4]	5	[11, 11]	0.001	0.997849626823946	54.0504295721732	0.0001203087595058	1.7227193073238969e-12
16	0	square	caipiranha	42083	[4, 4]	10	[11, 11]	0.001	0.9990950241260012	59.77257536244976	4.739193536806852e-05	5.487075738597082e-13
